,Unnamed: 0,Name,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links
9927,9927,Thom Tillis,SenThomTillis,2021-06-10T18:23:52.000Z,"I co-sponsored legislation introduced by @SenTomCotton that would authorize the president to sanction foreign officials who suppress or distort information about international public health crises, including COVID-19.
https://t.co/cNjHc8ZaAD",$,$,SenTomCotton,https://t.co/cNjHc8ZaAD
9928,9928,Thom Tillis,SenThomTillis,2021-06-10T12:30:00.000Z,"Congratulations, @HortonMiddle, on ranking 4th in the @SIFMA @SIFMAFoundation #CapitolHillChallenge presented by @CharlesSchwab! https://t.co/Xg9tZaSoV0",$,CapitolHillChallenge,"HortonMiddle, SIFMA, SIFMAFoundation, CharlesSchwab",https://t.co/Xg9tZaSoV0
9929,9929,Thom Tillis,SenThomTillis,2021-06-09T23:02:27.000Z,"I was recently joined by my colleagues outlining concerns about President Biden's decisions that have weakened American energy independence and emboldened our adversaries. 

Read it here ⤵️ https://t.co/sTH3gIs0C4",$,$,$,https://t.co/sTH3gIs0C4
9930,9930,Thom Tillis,SenThomTillis,2021-06-09T23:02:27.000Z,This decision will result in thousands of jobs lost and make the United States more dependent on other countries for energy. I strongly urge President Biden to stop pushing energy policies that are hurting American families and weakening national security. https://t.co/3GzrO59aI6,$,$,$,https://t.co/3GzrO59aI6
9931,9931,Thom Tillis,SenThomTillis,2021-06-09T21:28:44.000Z,"RT @SenatorShaheen: Yesterday @SenThomTillis, @SenatorRounds &amp; I met with NATO Secretary General @jensstoltenberg to discuss the upcoming N…",SenatorShaheen,$,$,$
9932,9932,Thom Tillis,SenThomTillis,2021-06-09T00:08:47.000Z,"I will continue to work across the aisle to protect the economy, public health, and national security of the United States and maintain our position as the leader of the world that protects sovereignty, enforces the rule of law, and respects human rights.",$,$,$,$
9933,9933,Thom Tillis,SenThomTillis,2021-06-09T00:08:47.000Z,"The Endless Frontier Act is a good first step to protecting American jobs, research workforce pipeline, and innovation, and I am pleased that multiple bills I introduced were included in the passage. 
https://t.co/hEzL3NmRcH",$,$,$,https://t.co/hEzL3NmRcH
9934,9934,Thom Tillis,SenThomTillis,2021-06-08T21:57:24.000Z,"We have to use every tool that we have available to find the origin of COVID-19 and hold the Chinese government accountable. 

Watch my full interview with @marthamaccallum. https://t.co/ThJUaC5xL8",$,$,marthamaccallum,https://t.co/ThJUaC5xL8
9935,9935,Thom Tillis,SenThomTillis,2021-06-08T18:24:31.000Z,"RT @newstimesonline: FRC East hosts Tillis, Murphy at Kinston facility
 https://t.co/fLAxKluZtw https://t.co/IMR6TYXZhZ",newstimesonline,$,$,$
9936,9936,Thom Tillis,SenThomTillis,2021-06-06T13:15:00.000Z,"77 years ago on #DDay, more than 160,000 Allied forces stormed the beaches of Normandy. Their bravery and sacrifice changed the course of history, ultimately freeing Western Europe from fascism. #DDay77 https://t.co/q7kSjCwC5F",$,"DDay, DDay77",$,https://t.co/q7kSjCwC5F
9937,9937,Thom Tillis,SenThomTillis,2021-06-05T17:53:02.000Z,"Meet Theodore “Theo” Tillis, the newest member of our family. 🐶 https://t.co/h2Z2YSMZrO",$,$,$,https://t.co/h2Z2YSMZrO
9938,9938,John Hoeven,SenJohnHoeven,2021-06-11T20:17:02.000Z,"🚨Good news – farmers and ranchers will receive full QLA payments and additional WHIP+ payments starting June 15. 

With #NDag producers facing another severe drought, its vital that we do all we can to support them as soon as possible. https://t.co/zUUM56gZS9",$,NDag,$,https://t.co/zUUM56gZS9
9939,9939,John Hoeven,SenJohnHoeven,2021-06-11T17:19:48.000Z,Discussed the work of Senate committees and what we’ve been covering in our hearings this week with students from both New Rockford Sheyenne School and Enderlin High School while they were in town. https://t.co/sFH5xMfdru,$,$,$,https://t.co/sFH5xMfdru
9940,9940,John Hoeven,SenJohnHoeven,2021-06-11T15:22:16.000Z,Helped introduce bipartisan legislation this week to make summer meal programs more flexible for students in rural communities during the summer months. https://t.co/Z1PacIBa4v,$,$,$,https://t.co/Z1PacIBa4v
9941,9941,John Hoeven,SenJohnHoeven,2021-06-10T19:09:35.000Z,"#NorthDakota continues to grow as a premiere hub for unmanned aircraft operations, research &amp; training, and the state’s investment in @VantisUAS builds on more than a decade of work to ensure the #NDUAS ecosystem has first-of-its-kind capabilities. https://t.co/i3zJNPKypi",$,"NorthDakota, NDUAS",VantisUAS,https://t.co/i3zJNPKypi
9942,9942,John Hoeven,SenJohnHoeven,2021-06-10T18:31:54.000Z,"With the work at General Atomics and the satellite operations center that we’re working to bring to Grand Forks, ND is well-positioned to play a critical role in the future of our nation’s defense. Discussed this w/ General Raymond at our Defense Approps hearing this week. https://t.co/enMlepIbxk",$,$,$,https://t.co/enMlepIbxk
