:START_ID(Tweet),:END_ID(States-ca),:TYPE,Specification
1914,Georgia,references,Georgia
1944,Kentucky,references,Kentucky
1947,Kentucky,references,Kentucky
1948,Kentucky,references,Kentucky
1965,Missouri,references,Missouri
2018,Louisiana,references,Louisiana
2021,Arkansas,references,Arkansas
2022,Arkansas,references,Arkansas
2023,Arkansas,references,Arkansas
2025,Arkansas,references,Arkansas
2029,Iowa,references,Iowa
2035,Iowa,references,Iowa
2039,Iowa,references,Iowa
2044,South Dakota,references,South Dakota
2045,Nevada,references,Nevada
2051,Nevada,references,Nevada
2053,Nevada,references,Nevada
2054,Nevada,references,Nevada
2060,Pennsylvania,references,Pennsylvania
2086,Maryland,references,Maryland
2091,Maryland,references,Maryland
2104,California,references,California
2118,Florida,references,Florida
2150,Texas,references,Texas
2260,Georgia,references,Georgia
2271,Louisiana,references,Louisiana
2305,Ohio,references,Ohio
2317,Hawaii,references,Hawaii
2343,Massachusetts,references,Massachusetts
2353,Pennsylvania,references,Pennsylvania
2382,Michigan,references,Michigan
2383,Michigan,references,Michigan
2384,Michigan,references,Michigan
2385,Michigan,references,Michigan
2386,Michigan,references,Michigan
2387,Michigan,references,Michigan
