name:ID(Unified Twitter Taxonomy-ca),:LABEL
John P. Sarbanes,Unified Twitter Taxonomy
John R. Curtis,Unified Twitter Taxonomy
John Rutherford,Unified Twitter Taxonomy
John Thune,Unified Twitter Taxonomy
Jon Cooper,Unified Twitter Taxonomy
Jon Ossoff,Unified Twitter Taxonomy
Jon Tester,Unified Twitter Taxonomy
Joni Ernst,Unified Twitter Taxonomy
Josh Gottheimer,Unified Twitter Taxonomy
Josh Hawley,Unified Twitter Taxonomy
Josh Shapiro,Unified Twitter Taxonomy
Journalism,Unified Twitter Taxonomy
Journalists,Unified Twitter Taxonomy
Joyce Beatty,Unified Twitter Taxonomy
Juan Vargas,Unified Twitter Taxonomy
Judy Chu,Unified Twitter Taxonomy
Julia Brownley,Unified Twitter Taxonomy
Justin Verlander,Unified Twitter Taxonomy
K-pop,Unified Twitter Taxonomy
Kaiali'i Kahele,Unified Twitter Taxonomy
"Kaiali'i Kahele""",Unified Twitter Taxonomy
Kaka ,Unified Twitter Taxonomy
Kamala Harris,Unified Twitter Taxonomy
Kari Lake,Unified Twitter Taxonomy
Karine Jean-Pierre,Unified Twitter Taxonomy
Karl Rove,Unified Twitter Taxonomy
Katherine Clark,Unified Twitter Taxonomy
Kathleen Rice,Unified Twitter Taxonomy
Kathy Castor,Unified Twitter Taxonomy
Kathy Griffin,Unified Twitter Taxonomy
Katie Hobbs,Unified Twitter Taxonomy
Kay Granger,Unified Twitter Taxonomy
Ken Buck,Unified Twitter Taxonomy
Kentucky,Unified Twitter Taxonomy
Ketanji Brown Jackson,Unified Twitter Taxonomy
Kevin Brady,Unified Twitter Taxonomy
Kevin Cramer,Unified Twitter Taxonomy
Kevin McCarthy,Unified Twitter Taxonomy
Key,Unified Twitter Taxonomy
Kim Wyman,Unified Twitter Taxonomy
Kimberley Strassel,Unified Twitter Taxonomy
Kirsten Gillibrand,Unified Twitter Taxonomy
Kirstjen Nielsen,Unified Twitter Taxonomy
Kweisi Mfume,Unified Twitter Taxonomy
Kyrsten Sinema,Unified Twitter Taxonomy
LSU Tigers,Unified Twitter Taxonomy
Large business,Unified Twitter Taxonomy
Larry Bucshon,Unified Twitter Taxonomy
Larry Hogan,Unified Twitter Taxonomy
Las Vegas,Unified Twitter Taxonomy
Laura Ingraham,Unified Twitter Taxonomy
Lee Zeldin,Unified Twitter Taxonomy
Leisure podcasts,Unified Twitter Taxonomy
Libraries,Unified Twitter Taxonomy
Linda McMahon,Unified Twitter Taxonomy
